ensembl_gene_id_version	gene_biotype	external_gene_name	description
ENSG00000008324.12	protein_coding	SS18L2	SS18 like 2 [Source:HGNC Symbol;Acc:HGNC:15593]
ENSG00000008869.12	protein_coding	HEATR5B	HEAT repeat containing 5B [Source:HGNC Symbol;Acc:HGNC:29273]
ENSG00000009307.17	protein_coding	CSDE1	cold shock domain containing E1 [Source:HGNC Symbol;Acc:HGNC:29905]
ENSG00000009709.12	protein_coding	PAX7	paired box 7 [Source:HGNC Symbol;Acc:HGNC:8621]
ENSG00000009724.18	protein_coding	MASP2	MBL associated serine protease 2 [Source:HGNC Symbol;Acc:HGNC:6902]
ENSG00000009780.16	protein_coding	FAM76A	family with sequence similarity 76 member A [Source:HGNC Symbol;Acc:HGNC:28530]
ENSG00000009790.15	protein_coding	TRAF3IP3	TRAF3 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:30766]
ENSG00000010072.16	protein_coding	SPRTN	SprT-like N-terminal domain [Source:HGNC Symbol;Acc:HGNC:25356]
ENSG00000010165.20	protein_coding	METTL13	methyltransferase 13, eEF1A lysine and N-terminal methyltransferase [Source:HGNC Symbol;Acc:HGNC:24248]
ENSG00000010256.11	protein_coding	UQCRC1	ubiquinol-cytochrome c reductase core protein 1 [Source:HGNC Symbol;Acc:HGNC:12585]
ENSG00000010282.15	protein_coding	HHATL	hedgehog acyltransferase like [Source:HGNC Symbol;Acc:HGNC:13242]
ENSG00000010318.22	protein_coding	PHF7	PHD finger protein 7 [Source:HGNC Symbol;Acc:HGNC:18458]
ENSG00000010319.7	protein_coding	SEMA3G	semaphorin 3G [Source:HGNC Symbol;Acc:HGNC:30400]
ENSG00000010322.16	protein_coding	NISCH	nischarin [Source:HGNC Symbol;Acc:HGNC:18006]
ENSG00000010327.10	protein_coding	STAB1	stabilin 1 [Source:HGNC Symbol;Acc:HGNC:18628]
ENSG00000010803.17	protein_coding	SCMH1	Scm polycomb group protein homolog 1 [Source:HGNC Symbol;Acc:HGNC:19003]
ENSG00000010932.17	protein_coding	FMO1	flavin containing dimethylaniline monoxygenase 1 [Source:HGNC Symbol;Acc:HGNC:3769]
ENSG00000011007.13	protein_coding	ELOA	elongin A [Source:HGNC Symbol;Acc:HGNC:11620]
ENSG00000011009.11	protein_coding	LYPLA2	lysophospholipase 2 [Source:HGNC Symbol;Acc:HGNC:6738]
ENSG00000011021.23	protein_coding	CLCN6	chloride voltage-gated channel 6 [Source:HGNC Symbol;Acc:HGNC:2024]
ENSG00000011198.10	protein_coding	ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase [Source:HGNC Symbol;Acc:HGNC:21396]
ENSG00000011376.12	protein_coding	LARS2	leucyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:17095]
ENSG00000011523.15	protein_coding	CEP68	centrosomal protein 68 [Source:HGNC Symbol;Acc:HGNC:29076]
ENSG00000011566.15	protein_coding	MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6865]
ENSG00000012171.20	protein_coding	SEMA3B	semaphorin 3B [Source:HGNC Symbol;Acc:HGNC:10724]
ENSG00000012223.13	protein_coding	LTF	lactotransferrin [Source:HGNC Symbol;Acc:HGNC:6720]
ENSG00000013016.16	protein_coding	EHD3	EH domain containing 3 [Source:HGNC Symbol;Acc:HGNC:3244]
ENSG00000013441.17	protein_coding	CLK1	CDC like kinase 1 [Source:HGNC Symbol;Acc:HGNC:2068]
ENSG00000014641.21	protein_coding	MDH1	malate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6970]
ENSG00000014914.21	protein_coding	MTMR11	myotubularin related protein 11 [Source:HGNC Symbol;Acc:HGNC:24307]
ENSG00000015568.13	protein_coding	RGPD5	RANBP2 like and GRIP domain containing 5 [Source:HGNC Symbol;Acc:HGNC:32418]
ENSG00000016391.11	protein_coding	CHDH	choline dehydrogenase [Source:HGNC Symbol;Acc:HGNC:24288]
ENSG00000016490.16	protein_coding	CLCA1	chloride channel accessory 1 [Source:HGNC Symbol;Acc:HGNC:2015]
ENSG00000016602.9	protein_coding	CLCA4	chloride channel accessory 4 [Source:HGNC Symbol;Acc:HGNC:2018]
ENSG00000016864.19	protein_coding	GLT8D1	glycosyltransferase 8 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24870]
ENSG00000018280.17	protein_coding	SLC11A1	solute carrier family 11 member 1 [Source:HGNC Symbol;Acc:HGNC:10907]
ENSG00000018510.18	protein_coding	AGPS	alkylglycerone phosphate synthase [Source:HGNC Symbol;Acc:HGNC:327]
ENSG00000018625.15	protein_coding	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:800]
ENSG00000018699.13	protein_coding	TTC27	tetratricopeptide repeat domain 27 [Source:HGNC Symbol;Acc:HGNC:25986]
ENSG00000019169.11	protein_coding	MARCO	macrophage receptor with collagenous structure [Source:HGNC Symbol;Acc:HGNC:6895]
ENSG00000020129.16	protein_coding	NCDN	neurochondrin [Source:HGNC Symbol;Acc:HGNC:17597]
ENSG00000020633.19	protein_coding	RUNX3	RUNX family transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:10473]
ENSG00000021574.14	protein_coding	SPAST	spastin [Source:HGNC Symbol;Acc:HGNC:11233]
ENSG00000021826.18	protein_coding	CPS1	carbamoyl-phosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:2323]
ENSG00000021852.14	protein_coding	C8B	complement C8 beta chain [Source:HGNC Symbol;Acc:HGNC:1353]
ENSG00000023228.14	protein_coding	NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1 [Source:HGNC Symbol;Acc:HGNC:7707]
ENSG00000023330.15	protein_coding	ALAS1	5'-aminolevulinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:396]
ENSG00000023572.10	protein_coding	GLRX2	glutaredoxin 2 [Source:HGNC Symbol;Acc:HGNC:16065]
ENSG00000023902.14	protein_coding	PLEKHO1	pleckstrin homology domain containing O1 [Source:HGNC Symbol;Acc:HGNC:24310]
ENSG00000023909.10	protein_coding	GCLM	glutamate-cysteine ligase modifier subunit [Source:HGNC Symbol;Acc:HGNC:4312]
ENSG00000024526.17	protein_coding	DEPDC1	DEP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22949]
ENSG00000025800.14	protein_coding	KPNA6	karyopherin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6399]
ENSG00000026751.17	protein_coding	SLAMF7	SLAM family member 7 [Source:HGNC Symbol;Acc:HGNC:21394]
ENSG00000027644.5	protein_coding	INSRR	insulin receptor related receptor [Source:HGNC Symbol;Acc:HGNC:6093]
ENSG00000027869.12	protein_coding	SH2D2A	SH2 domain containing 2A [Source:HGNC Symbol;Acc:HGNC:10821]
ENSG00000028116.18	protein_coding	VRK2	VRK serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:12719]
ENSG00000028137.19	protein_coding	TNFRSF1B	TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]
ENSG00000030419.17	protein_coding	IKZF2	IKAROS family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:13177]
ENSG00000031081.11	protein_coding	ARHGAP31	Rho GTPase activating protein 31 [Source:HGNC Symbol;Acc:HGNC:29216]
ENSG00000031698.13	protein_coding	SARS1	seryl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:10537]
ENSG00000032389.13	protein_coding	EIPR1	EARP complex and GARP complex interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:12383]
ENSG00000033122.21	protein_coding	LRRC7	leucine rich repeat containing 7 [Source:HGNC Symbol;Acc:HGNC:18531]
ENSG00000033867.17	protein_coding	SLC4A7	solute carrier family 4 member 7 [Source:HGNC Symbol;Acc:HGNC:11033]
ENSG00000034510.6	protein_coding	TMSB10	thymosin beta 10 [Source:HGNC Symbol;Acc:HGNC:11879]
ENSG00000034971.17	protein_coding	MYOC	myocilin [Source:HGNC Symbol;Acc:HGNC:7610]
ENSG00000035115.22	protein_coding	SH3YL1	SH3 and SYLF domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29546]
ENSG00000035687.10	protein_coding	ADSS2	adenylosuccinate synthase 2 [Source:HGNC Symbol;Acc:HGNC:292]
ENSG00000036054.13	protein_coding	TBC1D23	TBC1 domain family member 23 [Source:HGNC Symbol;Acc:HGNC:25622]
ENSG00000036257.14	protein_coding	CUL3	cullin 3 [Source:HGNC Symbol;Acc:HGNC:2553]
ENSG00000036549.13	protein_coding	ZZZ3	zinc finger ZZ-type containing 3 [Source:HGNC Symbol;Acc:HGNC:24523]
ENSG00000036828.17	protein_coding	CASR	calcium sensing receptor [Source:HGNC Symbol;Acc:HGNC:1514]
ENSG00000037637.11	protein_coding	FBXO42	F-box protein 42 [Source:HGNC Symbol;Acc:HGNC:29249]
ENSG00000040487.13	protein_coding	SLC66A1	solute carrier family 66 member 1 [Source:HGNC Symbol;Acc:HGNC:26001]
ENSG00000040933.16	protein_coding	INPP4A	inositol polyphosphate-4-phosphatase type I A [Source:HGNC Symbol;Acc:HGNC:6074]
ENSG00000041880.15	protein_coding	PARP3	poly(ADP-ribose) polymerase family member 3 [Source:HGNC Symbol;Acc:HGNC:273]
ENSG00000041988.16	protein_coding	THAP3	THAP domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20855]
ENSG00000042445.14	protein_coding	RETSAT	retinol saturase [Source:HGNC Symbol;Acc:HGNC:25991]
ENSG00000042493.16	protein_coding	CAPG	capping actin protein, gelsolin like [Source:HGNC Symbol;Acc:HGNC:1474]
ENSG00000042781.14	protein_coding	USH2A	usherin [Source:HGNC Symbol;Acc:HGNC:12601]
ENSG00000043514.17	protein_coding	TRIT1	tRNA isopentenyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:20286]
ENSG00000044012.4	protein_coding	GUCA2B	guanylate cyclase activator 2B [Source:HGNC Symbol;Acc:HGNC:4683]
ENSG00000044524.11	protein_coding	EPHA3	EPH receptor A3 [Source:HGNC Symbol;Acc:HGNC:3387]
ENSG00000047410.14	protein_coding	TPR	translocated promoter region, nuclear basket protein [Source:HGNC Symbol;Acc:HGNC:12017]
ENSG00000047849.22	protein_coding	MAP4	microtubule associated protein 4 [Source:HGNC Symbol;Acc:HGNC:6862]
ENSG00000048707.15	protein_coding	VPS13D	vacuolar protein sorting 13 homolog D [Source:HGNC Symbol;Acc:HGNC:23595]
ENSG00000048991.17	protein_coding	R3HDM1	R3H domain containing 1 [Source:HGNC Symbol;Acc:HGNC:9757]
ENSG00000049089.15	protein_coding	COL9A2	collagen type IX alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2218]
ENSG00000049239.13	protein_coding	H6PD	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4795]
ENSG00000049245.13	protein_coding	VAMP3	vesicle associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:12644]
ENSG00000049246.15	protein_coding	PER3	period circadian regulator 3 [Source:HGNC Symbol;Acc:HGNC:8847]
ENSG00000049247.14	protein_coding	UTS2	urotensin 2 [Source:HGNC Symbol;Acc:HGNC:12636]
ENSG00000049249.10	protein_coding	TNFRSF9	TNF receptor superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11924]
ENSG00000049323.16	protein_coding	LTBP1	latent transforming growth factor beta binding protein 1 [Source:HGNC Symbol;Acc:HGNC:6714]
ENSG00000050628.21	protein_coding	PTGER3	prostaglandin E receptor 3 [Source:HGNC Symbol;Acc:HGNC:9595]
ENSG00000051341.15	protein_coding	POLQ	DNA polymerase theta [Source:HGNC Symbol;Acc:HGNC:9186]
ENSG00000052723.12	protein_coding	SIKE1	suppressor of IKBKE 1 [Source:HGNC Symbol;Acc:HGNC:26119]
ENSG00000053371.13	protein_coding	AKR7A2	aldo-keto reductase family 7 member A2 [Source:HGNC Symbol;Acc:HGNC:389]
ENSG00000053372.5	protein_coding	MRTO4	MRT4 homolog, ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:18477]
ENSG00000054116.12	protein_coding	TRAPPC3	trafficking protein particle complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:19942]
ENSG00000054118.15	protein_coding	THRAP3	thyroid hormone receptor associated protein 3 [Source:HGNC Symbol;Acc:HGNC:22964]
ENSG00000054219.11	protein_coding	LY75	lymphocyte antigen 75 [Source:HGNC Symbol;Acc:HGNC:6729]
ENSG00000054267.22	protein_coding	ARID4B	AT-rich interaction domain 4B [Source:HGNC Symbol;Acc:HGNC:15550]
ENSG00000054277.14	protein_coding	OPN3	opsin 3 [Source:HGNC Symbol;Acc:HGNC:14007]
ENSG00000054282.16	protein_coding	SDCCAG8	SHH signaling and ciliogenesis regulator SDCCAG8 [Source:HGNC Symbol;Acc:HGNC:10671]
ENSG00000054356.14	protein_coding	PTPRN	protein tyrosine phosphatase receptor type N [Source:HGNC Symbol;Acc:HGNC:9676]
ENSG00000054392.13	protein_coding	HHAT	hedgehog acyltransferase [Source:HGNC Symbol;Acc:HGNC:18270]
ENSG00000054523.20	protein_coding	KIF1B	kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636]
ENSG00000055044.11	protein_coding	NOP58	NOP58 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:29926]
ENSG00000055070.17	protein_coding	SZRD1	SUZ RNA binding domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30232]
ENSG00000055332.19	protein_coding	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437]
ENSG00000055732.13	protein_coding	MCOLN3	mucolipin TRP cation channel 3 [Source:HGNC Symbol;Acc:HGNC:13358]
ENSG00000055813.6	protein_coding	CCDC85A	coiled-coil domain containing 85A [Source:HGNC Symbol;Acc:HGNC:29400]
ENSG00000055917.17	protein_coding	PUM2	pumilio RNA binding family member 2 [Source:HGNC Symbol;Acc:HGNC:14958]
ENSG00000055955.17	protein_coding	ITIH4	inter-alpha-trypsin inhibitor heavy chain 4 [Source:HGNC Symbol;Acc:HGNC:6169]
ENSG00000055957.11	protein_coding	ITIH1	inter-alpha-trypsin inhibitor heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:6166]
ENSG00000056736.10	protein_coding	IL17RB	interleukin 17 receptor B [Source:HGNC Symbol;Acc:HGNC:18015]
ENSG00000057019.16	protein_coding	DCBLD2	discoidin, CUB and LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24627]
ENSG00000057252.13	protein_coding	SOAT1	sterol O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:11177]
ENSG00000057468.7	protein_coding	MSH4	mutS homolog 4 [Source:HGNC Symbol;Acc:HGNC:7327]
ENSG00000057757.10	protein_coding	PITHD1	PITH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25022]
ENSG00000057935.14	protein_coding	MTA3	metastasis associated 1 family member 3 [Source:HGNC Symbol;Acc:HGNC:23784]
ENSG00000058085.15	protein_coding	LAMC2	laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]
ENSG00000058262.11	protein_coding	SEC61A1	SEC61 translocon subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:18276]
ENSG00000058453.17	protein_coding	CROCC	ciliary rootlet coiled-coil, rootletin [Source:HGNC Symbol;Acc:HGNC:21299]
ENSG00000058668.16	protein_coding	ATP2B4	ATPase plasma membrane Ca2+ transporting 4 [Source:HGNC Symbol;Acc:HGNC:817]
ENSG00000058673.17	protein_coding	ZC3H11A	zinc finger CCCH-type containing 11A [Source:HGNC Symbol;Acc:HGNC:29093]
ENSG00000058799.15	protein_coding	YIPF1	Yip1 domain family member 1 [Source:HGNC Symbol;Acc:HGNC:25231]
ENSG00000058804.12	protein_coding	NDC1	NDC1 transmembrane nucleoporin [Source:HGNC Symbol;Acc:HGNC:25525]
ENSG00000059588.10	protein_coding	TARBP1	TAR (HIV-1) RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11568]
ENSG00000059728.11	protein_coding	MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]
ENSG00000060642.12	protein_coding	PIGV	phosphatidylinositol glycan anchor biosynthesis class V [Source:HGNC Symbol;Acc:HGNC:26031]
ENSG00000060656.20	protein_coding	PTPRU	protein tyrosine phosphatase receptor type U [Source:HGNC Symbol;Acc:HGNC:9683]
ENSG00000060688.13	protein_coding	SNRNP40	small nuclear ribonucleoprotein U5 subunit 40 [Source:HGNC Symbol;Acc:HGNC:30857]
ENSG00000060718.22	protein_coding	COL11A1	collagen type XI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2186]
ENSG00000060971.19	protein_coding	ACAA1	acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]
ENSG00000061676.16	protein_coding	NCKAP1	NCK associated protein 1 [Source:HGNC Symbol;Acc:HGNC:7666]
ENSG00000063660.9	protein_coding	GPC1	glypican 1 [Source:HGNC Symbol;Acc:HGNC:4449]
ENSG00000064012.24	protein_coding	CASP8	caspase 8 [Source:HGNC Symbol;Acc:HGNC:1509]
ENSG00000064225.13	protein_coding	ST3GAL6	ST3 beta-galactoside alpha-2,3-sialyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:18080]
ENSG00000064703.13	protein_coding	DDX20	DEAD-box helicase 20 [Source:HGNC Symbol;Acc:HGNC:2743]
ENSG00000064835.12	protein_coding	POU1F1	POU class 1 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9210]
ENSG00000064886.14	protein_coding	CHI3L2	chitinase 3 like 2 [Source:HGNC Symbol;Acc:HGNC:1933]
ENSG00000064933.19	protein_coding	PMS1	PMS1 homolog 1, mismatch repair system component [Source:HGNC Symbol;Acc:HGNC:9121]
ENSG00000064989.13	protein_coding	CALCRL	calcitonin receptor like receptor [Source:HGNC Symbol;Acc:HGNC:16709]
ENSG00000065135.12	protein_coding	GNAI3	G protein subunit alpha i3 [Source:HGNC Symbol;Acc:HGNC:4387]
ENSG00000065183.16	protein_coding	WDR3	WD repeat domain 3 [Source:HGNC Symbol;Acc:HGNC:12755]
ENSG00000065243.20	protein_coding	PKN2	protein kinase N2 [Source:HGNC Symbol;Acc:HGNC:9406]
ENSG00000065371.18	protein_coding	ROPN1	rhophilin associated tail protein 1 [Source:HGNC Symbol;Acc:HGNC:17692]
ENSG00000065413.20	protein_coding	ANKRD44	ankyrin repeat domain 44 [Source:HGNC Symbol;Acc:HGNC:25259]
ENSG00000065485.20	protein_coding	PDIA5	protein disulfide isomerase family A member 5 [Source:HGNC Symbol;Acc:HGNC:24811]
ENSG00000065518.8	protein_coding	NDUFB4	NADH:ubiquinone oxidoreductase subunit B4 [Source:HGNC Symbol;Acc:HGNC:7699]
ENSG00000065526.13	protein_coding	SPEN	spen family transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:17575]
ENSG00000065534.20	protein_coding	MYLK	myosin light chain kinase [Source:HGNC Symbol;Acc:HGNC:7590]
ENSG00000065548.18	protein_coding	ZC3H15	zinc finger CCCH-type containing 15 [Source:HGNC Symbol;Acc:HGNC:29528]
ENSG00000065600.13	protein_coding	PACC1	proton activated chloride channel 1 [Source:HGNC Symbol;Acc:HGNC:25593]
ENSG00000065802.12	protein_coding	ASB1	ankyrin repeat and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:16011]
ENSG00000065911.13	protein_coding	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]
ENSG00000065978.19	protein_coding	YBX1	Y-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8014]
ENSG00000066027.12	protein_coding	PPP2R5A	protein phosphatase 2 regulatory subunit B'alpha [Source:HGNC Symbol;Acc:HGNC:9309]
ENSG00000066032.19	protein_coding	CTNNA2	catenin alpha 2 [Source:HGNC Symbol;Acc:HGNC:2510]
ENSG00000066056.14	protein_coding	TIE1	tyrosine kinase with immunoglobulin like and EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:11809]
ENSG00000066135.13	protein_coding	KDM4A	lysine demethylase 4A [Source:HGNC Symbol;Acc:HGNC:22978]
ENSG00000066136.21	protein_coding	NFYC	nuclear transcription factor Y subunit gamma [Source:HGNC Symbol;Acc:HGNC:7806]
ENSG00000066185.13	protein_coding	ZMYND12	zinc finger MYND-type containing 12 [Source:HGNC Symbol;Acc:HGNC:21192]
ENSG00000066248.15	protein_coding	NGEF	neuronal guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:7807]
ENSG00000066279.19	protein_coding	ASPM	assembly factor for spindle microtubules [Source:HGNC Symbol;Acc:HGNC:19048]
ENSG00000066294.15	protein_coding	CD84	CD84 molecule [Source:HGNC Symbol;Acc:HGNC:1704]
ENSG00000066322.15	protein_coding	ELOVL1	ELOVL fatty acid elongase 1 [Source:HGNC Symbol;Acc:HGNC:14418]
ENSG00000066422.7	protein_coding	ZBTB11	zinc finger and BTB domain containing 11 [Source:HGNC Symbol;Acc:HGNC:16740]
ENSG00000066557.6	protein_coding	LRRC40	leucine rich repeat containing 40 [Source:HGNC Symbol;Acc:HGNC:26004]
ENSG00000067066.17	protein_coding	SP100	SP100 nuclear antigen [Source:HGNC Symbol;Acc:HGNC:11206]
ENSG00000067334.14	protein_coding	DNTTIP2	deoxynucleotidyltransferase terminal interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:24013]
ENSG00000067533.6	protein_coding	RRP15	ribosomal RNA processing 15 homolog [Source:HGNC Symbol;Acc:HGNC:24255]
ENSG00000067560.14	protein_coding	RHOA	ras homolog family member A [Source:HGNC Symbol;Acc:HGNC:667]
ENSG00000067606.17	protein_coding	PRKCZ	protein kinase C zeta [Source:HGNC Symbol;Acc:HGNC:9412]
ENSG00000067704.10	protein_coding	IARS2	isoleucyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:29685]
ENSG00000068001.14	protein_coding	HYAL2	hyaluronidase 2 [Source:HGNC Symbol;Acc:HGNC:5321]
ENSG00000068024.18	protein_coding	HDAC4	histone deacetylase 4 [Source:HGNC Symbol;Acc:HGNC:14063]
ENSG00000068028.18	protein_coding	RASSF1	Ras association domain family member 1 [Source:HGNC Symbol;Acc:HGNC:9882]
ENSG00000068615.20	protein_coding	REEP1	receptor accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:25786]
ENSG00000068654.17	protein_coding	POLR1A	RNA polymerase I subunit A [Source:HGNC Symbol;Acc:HGNC:17264]
ENSG00000068697.7	protein_coding	LAPTM4A	lysosomal protein transmembrane 4 alpha [Source:HGNC Symbol;Acc:HGNC:6924]
ENSG00000068724.18	protein_coding	TTC7A	tetratricopeptide repeat domain 7A [Source:HGNC Symbol;Acc:HGNC:19750]
ENSG00000068745.15	protein_coding	IP6K2	inositol hexakisphosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:17313]
ENSG00000068781.21	protein_coding	STON1-GTF2A1L	STON1-GTF2A1L readthrough [Source:HGNC Symbol;Acc:HGNC:30651]
ENSG00000068784.13	protein_coding	SRBD1	S1 RNA binding domain 1 [Source:HGNC Symbol;Acc:HGNC:25521]
