gene	BeWo.CT	SCR.CT27	SCR.CT29	gene	gene_biotype	external_gene_name	description
ENSG00000116704	1	0	0	ENSG00000116704	protein_coding	SLC35D1	solute carrier family 35 member D1 [Source:HGNC Symbol;Acc:HGNC:20800]
ENSG00000116793	1	0	0	ENSG00000116793	protein_coding	PHTF1	putative homeodomain transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:8939]
ENSG00000117643	1	0	0	ENSG00000117643	protein_coding	MAN1C1	mannosidase alpha class 1C member 1 [Source:HGNC Symbol;Acc:HGNC:19080]
ENSG00000117834	1	0	0	ENSG00000117834	protein_coding	SLC5A9	solute carrier family 5 member 9 [Source:HGNC Symbol;Acc:HGNC:22146]
ENSG00000118257	1	0	0	ENSG00000118257	protein_coding	NRP2	neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]
ENSG00000118729	1	0	0	ENSG00000118729	protein_coding	CASQ2	calsequestrin 2 [Source:HGNC Symbol;Acc:HGNC:1513]
ENSG00000119283	1	0	0	ENSG00000119283	protein_coding	TRIM67	tripartite motif containing 67 [Source:HGNC Symbol;Acc:HGNC:31859]
ENSG00000119737	1	0	0	ENSG00000119737	protein_coding	GPR75	G protein-coupled receptor 75 [Source:HGNC Symbol;Acc:HGNC:4526]
ENSG00000120949	1	0	0	ENSG00000120949	protein_coding	TNFRSF8	TNF receptor superfamily member 8 [Source:HGNC Symbol;Acc:HGNC:11923]
ENSG00000121454	1	0	0	ENSG00000121454	protein_coding	LHX4	LIM homeobox 4 [Source:HGNC Symbol;Acc:HGNC:21734]
ENSG00000121552	1	0	0	ENSG00000121552	protein_coding	CSTA	cystatin A [Source:HGNC Symbol;Acc:HGNC:2481]
ENSG00000123485	1	0	0	ENSG00000123485	protein_coding	HJURP	Holliday junction recognition protein [Source:HGNC Symbol;Acc:HGNC:25444]
ENSG00000123843	1	0	0	ENSG00000123843	protein_coding	C4BPB	complement component 4 binding protein beta [Source:HGNC Symbol;Acc:HGNC:1328]
ENSG00000123999	1	0	0	ENSG00000123999	protein_coding	INHA	inhibin subunit alpha [Source:HGNC Symbol;Acc:HGNC:6065]
ENSG00000128656	1	0	0	ENSG00000128656	protein_coding	CHN1	chimerin 1 [Source:HGNC Symbol;Acc:HGNC:1943]
ENSG00000132768	1	0	0	ENSG00000132768	protein_coding	DPH2	diphthamide biosynthesis 2 [Source:HGNC Symbol;Acc:HGNC:3004]
ENSG00000132773	1	0	0	ENSG00000132773	protein_coding	TOE1	target of EGR1, exonuclease [Source:HGNC Symbol;Acc:HGNC:15954]
ENSG00000134326	1	0	0	ENSG00000134326	protein_coding	CMPK2	cytidine/uridine monophosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:27015]
ENSG00000135636	1	0	0	ENSG00000135636	protein_coding	DYSF	dysferlin [Source:HGNC Symbol;Acc:HGNC:3097]
ENSG00000135919	1	0	0	ENSG00000135919	protein_coding	SERPINE2	serpin family E member 2 [Source:HGNC Symbol;Acc:HGNC:8951]
ENSG00000135925	1	0	0	ENSG00000135925	protein_coding	WNT10A	Wnt family member 10A [Source:HGNC Symbol;Acc:HGNC:13829]
ENSG00000136630	1	0	0	ENSG00000136630	protein_coding	HLX	H2.0 like homeobox [Source:HGNC Symbol;Acc:HGNC:4978]
ENSG00000136717	1	0	0	ENSG00000136717	protein_coding	BIN1	bridging integrator 1 [Source:HGNC Symbol;Acc:HGNC:1052]
ENSG00000137975	1	0	0	ENSG00000137975	protein_coding	CLCA2	chloride channel accessory 2 [Source:HGNC Symbol;Acc:HGNC:2016]
ENSG00000138100	1	0	0	ENSG00000138100	protein_coding	TRIM54	tripartite motif containing 54 [Source:HGNC Symbol;Acc:HGNC:16008]
ENSG00000142627	1	1	1	ENSG00000142627	protein_coding	EPHA2	EPH receptor A2 [Source:HGNC Symbol;Acc:HGNC:3386]
ENSG00000142657	1	0	0	ENSG00000142657	protein_coding	PGD	phosphogluconate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8891]
ENSG00000142686	1	0	0	ENSG00000142686	protein_coding	C1orf216	chromosome 1 open reading frame 216 [Source:HGNC Symbol;Acc:HGNC:26800]
ENSG00000143319	1	0	0	ENSG00000143319	protein_coding	ISG20L2	interferon stimulated exonuclease gene 20 like 2 [Source:HGNC Symbol;Acc:HGNC:25745]
ENSG00000143340	1	0	0	ENSG00000143340	protein_coding	FAM163A	family with sequence similarity 163 member A [Source:HGNC Symbol;Acc:HGNC:28274]
ENSG00000143793	1	0	0	ENSG00000143793	protein_coding	C1orf35	chromosome 1 open reading frame 35 [Source:HGNC Symbol;Acc:HGNC:19032]
ENSG00000143816	1	0	0	ENSG00000143816	protein_coding	WNT9A	Wnt family member 9A [Source:HGNC Symbol;Acc:HGNC:12778]
ENSG00000143819	1	0	0	ENSG00000143819	protein_coding	EPHX1	epoxide hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:3401]
ENSG00000143942	1	0	0	ENSG00000143942	protein_coding	CHAC2	ChaC glutathione specific gamma-glutamylcyclotransferase 2 [Source:HGNC Symbol;Acc:HGNC:32363]
ENSG00000144040	1	0	0	ENSG00000144040	protein_coding	SFXN5	sideroflexin 5 [Source:HGNC Symbol;Acc:HGNC:16073]
ENSG00000144381	1	0	0	ENSG00000144381	protein_coding	HSPD1	heat shock protein family D (Hsp60) member 1 [Source:HGNC Symbol;Acc:HGNC:5261]
ENSG00000145040	1	0	0	ENSG00000145040	protein_coding	UCN2	urocortin 2 [Source:HGNC Symbol;Acc:HGNC:18414]
ENSG00000150540	1	0	0	ENSG00000150540	protein_coding	HNMT	histamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:5028]
ENSG00000150556	1	0	0	ENSG00000150556	protein_coding	LYPD6B	LY6/PLAUR domain containing 6B [Source:HGNC Symbol;Acc:HGNC:27018]
ENSG00000152253	1	0	0	ENSG00000152253	protein_coding	SPC25	SPC25 component of NDC80 kinetochore complex [Source:HGNC Symbol;Acc:HGNC:24031]
ENSG00000153551	1	0	0	ENSG00000153551	protein_coding	CMTM7	CKLF like MARVEL transmembrane domain containing 7 [Source:HGNC Symbol;Acc:HGNC:19178]
ENSG00000157036	1	0	0	ENSG00000157036	protein_coding	EXOG	exo/endonuclease G [Source:HGNC Symbol;Acc:HGNC:3347]
ENSG00000157150	1	0	0	ENSG00000157150	protein_coding	TIMP4	TIMP metallopeptidase inhibitor 4 [Source:HGNC Symbol;Acc:HGNC:11823]
ENSG00000157193	1	0	0	ENSG00000157193	protein_coding	LRP8	LDL receptor related protein 8 [Source:HGNC Symbol;Acc:HGNC:6700]
ENSG00000158050	1	0	0	ENSG00000158050	protein_coding	DUSP2	dual specificity phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3068]
ENSG00000158055	1	0	0	ENSG00000158055	protein_coding	GRHL3	grainyhead like transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:25839]
ENSG00000159388	1	0	0	ENSG00000159388	protein_coding	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]
ENSG00000159423	1	0	0	ENSG00000159423	protein_coding	ALDH4A1	aldehyde dehydrogenase 4 family member A1 [Source:HGNC Symbol;Acc:HGNC:406]
ENSG00000159445	1	0	0	ENSG00000159445	protein_coding	THEM4	thioesterase superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:17947]
ENSG00000159588	1	0	0	ENSG00000159588	protein_coding	CCDC17	coiled-coil domain containing 17 [Source:HGNC Symbol;Acc:HGNC:26574]
ENSG00000160072	1	0	0	ENSG00000160072	protein_coding	ATAD3B	ATPase family AAA domain containing 3B [Source:HGNC Symbol;Acc:HGNC:24007]
ENSG00000162383	1	0	0	ENSG00000162383	protein_coding	SLC1A7	solute carrier family 1 member 7 [Source:HGNC Symbol;Acc:HGNC:10945]
ENSG00000162552	1	0	0	ENSG00000162552	protein_coding	WNT4	Wnt family member 4 [Source:HGNC Symbol;Acc:HGNC:12783]
ENSG00000162643	1	0	0	ENSG00000162643	protein_coding	DNAI3	dynein axonemal intermediate chain 3 [Source:HGNC Symbol;Acc:HGNC:30711]
ENSG00000162664	1	0	0	ENSG00000162664	protein_coding	ZNF326	zinc finger protein 326 [Source:HGNC Symbol;Acc:HGNC:14104]
ENSG00000162878	1	0	0	ENSG00000162878	protein_coding	PKDCC	protein kinase domain containing, cytoplasmic [Source:HGNC Symbol;Acc:HGNC:25123]
ENSG00000163082	1	0	0	ENSG00000163082	protein_coding	SGPP2	sphingosine-1-phosphate phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:19953]
ENSG00000163406	1	0	0	ENSG00000163406	protein_coding	SLC15A2	solute carrier family 15 member 2 [Source:HGNC Symbol;Acc:HGNC:10921]
ENSG00000163467	1	0	0	ENSG00000163467	protein_coding	TSACC	TSSK6 activating cochaperone [Source:HGNC Symbol;Acc:HGNC:30636]
ENSG00000163491	1	0	0	ENSG00000163491	protein_coding	NEK10	NIMA related kinase 10 [Source:HGNC Symbol;Acc:HGNC:18592]
ENSG00000163499	1	1	0	ENSG00000163499	protein_coding	CRYBA2	crystallin beta A2 [Source:HGNC Symbol;Acc:HGNC:2395]
ENSG00000163638	1	0	0	ENSG00000163638	protein_coding	ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9 [Source:HGNC Symbol;Acc:HGNC:13202]
ENSG00000163811	1	0	0	ENSG00000163811	protein_coding	WDR43	WD repeat domain 43 [Source:HGNC Symbol;Acc:HGNC:28945]
ENSG00000164045	1	0	0	ENSG00000164045	protein_coding	CDC25A	cell division cycle 25A [Source:HGNC Symbol;Acc:HGNC:1725]
ENSG00000168874	1	0	0	ENSG00000168874	protein_coding	ATOH8	atonal bHLH transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:24126]
ENSG00000168906	1	0	0	ENSG00000168906	protein_coding	MAT2A	methionine adenosyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:6904]
ENSG00000169981	1	0	0	ENSG00000169981	protein_coding	ZNF35	zinc finger protein 35 [Source:HGNC Symbol;Acc:HGNC:13099]
ENSG00000171227	1	0	0	ENSG00000171227	protein_coding	TMEM37	transmembrane protein 37 [Source:HGNC Symbol;Acc:HGNC:18216]
ENSG00000171848	1	0	0	ENSG00000171848	protein_coding	RRM2	ribonucleotide reductase regulatory subunit M2 [Source:HGNC Symbol;Acc:HGNC:10452]
ENSG00000172073	1	0	0	ENSG00000172073	protein_coding	TEX37	testis expressed 37 [Source:HGNC Symbol;Acc:HGNC:26341]
ENSG00000174307	1	0	0	ENSG00000174307	protein_coding	PHLDA3	pleckstrin homology like domain family A member 3 [Source:HGNC Symbol;Acc:HGNC:8934]
ENSG00000175792	1	0	0	ENSG00000175792	protein_coding	RUVBL1	RuvB like AAA ATPase 1 [Source:HGNC Symbol;Acc:HGNC:10474]
ENSG00000177614	1	0	0	ENSG00000177614	protein_coding	PGBD5	piggyBac transposable element derived 5 [Source:HGNC Symbol;Acc:HGNC:19405]
ENSG00000179023	1	0	0	ENSG00000179023	protein_coding	KLHDC7A	kelch domain containing 7A [Source:HGNC Symbol;Acc:HGNC:26791]
ENSG00000179862	1	0	0	ENSG00000179862	protein_coding	CITED4	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4 [Source:HGNC Symbol;Acc:HGNC:18696]
ENSG00000180198	1	0	0	ENSG00000180198	protein_coding	RCC1	regulator of chromosome condensation 1 [Source:HGNC Symbol;Acc:HGNC:1913]
ENSG00000180871	1	0	0	ENSG00000180871	protein_coding	CXCR2	C-X-C motif chemokine receptor 2 [Source:HGNC Symbol;Acc:HGNC:6027]
ENSG00000180999	1	0	0	ENSG00000180999	protein_coding	C1orf105	chromosome 1 open reading frame 105 [Source:HGNC Symbol;Acc:HGNC:29591]
ENSG00000182177	1	0	0	ENSG00000182177	protein_coding	ASB18	ankyrin repeat and SOCS box containing 18 [Source:HGNC Symbol;Acc:HGNC:19770]
ENSG00000182551	1	0	0	ENSG00000182551	protein_coding	ADI1	acireductone dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:30576]
ENSG00000183317	1	0	0	ENSG00000183317	protein_coding	EPHA10	EPH receptor A10 [Source:HGNC Symbol;Acc:HGNC:19987]
ENSG00000185674	1	0	0	ENSG00000185674	protein_coding	LYG2	lysozyme g2 [Source:HGNC Symbol;Acc:HGNC:29615]
ENSG00000186603	1	0	0	ENSG00000186603	protein_coding	HPDL	4-hydroxyphenylpyruvate dioxygenase like [Source:HGNC Symbol;Acc:HGNC:28242]
ENSG00000187123	1	0	0	ENSG00000187123	protein_coding	LYPD6	LY6/PLAUR domain containing 6 [Source:HGNC Symbol;Acc:HGNC:28751]
ENSG00000187634	1	0	0	ENSG00000187634	protein_coding	SAMD11	sterile alpha motif domain containing 11 [Source:HGNC Symbol;Acc:HGNC:28706]
ENSG00000187736	1	0	0	ENSG00000187736	protein_coding	NHEJ1	non-homologous end joining factor 1 [Source:HGNC Symbol;Acc:HGNC:25737]
ENSG00000188315	1	0	0	ENSG00000188315	protein_coding	C3orf62	chromosome 3 open reading frame 62 [Source:HGNC Symbol;Acc:HGNC:24771]
ENSG00000196449	1	0	0	ENSG00000196449	protein_coding	YRDC	yrdC N6-threonylcarbamoyltransferase domain containing [Source:HGNC Symbol;Acc:HGNC:28905]
ENSG00000196581	1	0	0	ENSG00000196581	protein_coding	AJAP1	adherens junctions associated protein 1 [Source:HGNC Symbol;Acc:HGNC:30801]
ENSG00000197785	1	0	0	ENSG00000197785	protein_coding	ATAD3A	ATPase family AAA domain containing 3A [Source:HGNC Symbol;Acc:HGNC:25567]
ENSG00000197852	1	0	0	ENSG00000197852	protein_coding	INKA2	inka box actin regulator 2 [Source:HGNC Symbol;Acc:HGNC:28045]
ENSG00000197982	1	0	0	ENSG00000197982	protein_coding	C1orf122	chromosome 1 open reading frame 122 [Source:HGNC Symbol;Acc:HGNC:24789]
ENSG00000198830	1	0	0	ENSG00000198830	protein_coding	HMGN2	high mobility group nucleosomal binding domain 2 [Source:HGNC Symbol;Acc:HGNC:4986]
ENSG00000203663	1	0	0	ENSG00000203663	protein_coding	OR2L2	olfactory receptor family 2 subfamily L member 2 [Source:HGNC Symbol;Acc:HGNC:8266]
ENSG00000203724	1	0	0	ENSG00000203724	protein_coding	C1orf53	chromosome 1 open reading frame 53 [Source:HGNC Symbol;Acc:HGNC:30003]
ENSG00000205639	1	0	0	ENSG00000205639	protein_coding	MFSD2B	major facilitator superfamily domain containing 2B [Source:HGNC Symbol;Acc:HGNC:37207]
ENSG00000206530	1	0	0	ENSG00000206530	protein_coding	CFAP44	cilia and flagella associated protein 44 [Source:HGNC Symbol;Acc:HGNC:25631]
ENSG00000214114	1	0	0	ENSG00000214114	protein_coding	MYCBP	MYC binding protein [Source:HGNC Symbol;Acc:HGNC:7554]
ENSG00000232112	1	0	0	ENSG00000232112	protein_coding	TMA7	translation machinery associated 7 homolog [Source:HGNC Symbol;Acc:HGNC:26932]
ENSG00000238243	1	0	0	ENSG00000238243	protein_coding	OR2W3	olfactory receptor family 2 subfamily W member 3 [Source:HGNC Symbol;Acc:HGNC:15021]
ENSG00000239887	1	0	0	ENSG00000239887	protein_coding	C1orf226	chromosome 1 open reading frame 226 [Source:HGNC Symbol;Acc:HGNC:34351]
ENSG00000249992	1	0	0	ENSG00000249992	protein_coding	TMEM158	transmembrane protein 158 [Source:HGNC Symbol;Acc:HGNC:30293]
ENSG00000265241	1	0	0	ENSG00000265241	protein_coding	RBM8A	RNA binding motif protein 8A [Source:HGNC Symbol;Acc:HGNC:9905]
ENSG00000265972	1	0	0	ENSG00000265972	protein_coding	TXNIP	thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]
ENSG00000272573	1	0	0	ENSG00000272573	protein_coding	MUSTN1	musculoskeletal, embryonic nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:22144]
ENSG00000274386	1	0	0	ENSG00000274386	protein_coding	TMEM269	transmembrane protein 269 [Source:HGNC Symbol;Acc:HGNC:52381]
ENSG00000283324	1	0	0	ENSG00000283324	protein_coding	CTXND2	cortexin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:53440]
ENSG00000284820	1	0	0	ENSG00000284820	protein_coding		novel protein
ENSG00000001630	1	0	0	ENSG00000001630	protein_coding	CYP51A1	cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]
ENSG00000014257	1	0	0	ENSG00000014257	protein_coding	ACP3	acid phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:125]
ENSG00000016082	1	0	0	ENSG00000016082	protein_coding	ISL1	ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132]
ENSG00000033050	1	0	0	ENSG00000033050	protein_coding	ABCF2	ATP binding cassette subfamily F member 2 [Source:HGNC Symbol;Acc:HGNC:71]
ENSG00000043143	1	0	0	ENSG00000043143	protein_coding	JADE2	jade family PHD finger 2 [Source:HGNC Symbol;Acc:HGNC:22984]
ENSG00000048162	1	0	0	ENSG00000048162	protein_coding	NOP16	NOP16 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:26934]
ENSG00000052802	1	0	0	ENSG00000052802	protein_coding	MSMO1	methylsterol monooxygenase 1 [Source:HGNC Symbol;Acc:HGNC:10545]
ENSG00000054598	1	0	0	ENSG00000054598	protein_coding	FOXC1	forkhead box C1 [Source:HGNC Symbol;Acc:HGNC:3800]
ENSG00000060762	1	0	0	ENSG00000060762	protein_coding	MPC1	mitochondrial pyruvate carrier 1 [Source:HGNC Symbol;Acc:HGNC:21606]
ENSG00000063978	1	0	0	ENSG00000063978	protein_coding	RNF4	ring finger protein 4 [Source:HGNC Symbol;Acc:HGNC:10067]
ENSG00000064651	1	0	0	ENSG00000064651	protein_coding	SLC12A2	solute carrier family 12 member 2 [Source:HGNC Symbol;Acc:HGNC:10911]
ENSG00000066230	1	0	0	ENSG00000066230	protein_coding	SLC9A3	solute carrier family 9 member A3 [Source:HGNC Symbol;Acc:HGNC:11073]
ENSG00000071539	1	0	0	ENSG00000071539	protein_coding	TRIP13	thyroid hormone receptor interactor 13 [Source:HGNC Symbol;Acc:HGNC:12307]
ENSG00000073067	1	0	0	ENSG00000073067	protein_coding	CYP2W1	cytochrome P450 family 2 subfamily W member 1 [Source:HGNC Symbol;Acc:HGNC:20243]
ENSG00000075223	1	0	0	ENSG00000075223	protein_coding	SEMA3C	semaphorin 3C [Source:HGNC Symbol;Acc:HGNC:10725]
ENSG00000081059	1	0	0	ENSG00000081059	protein_coding	TCF7	transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:11639]
ENSG00000082014	1	0	0	ENSG00000082014	protein_coding	SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3 [Source:HGNC Symbol;Acc:HGNC:11108]
ENSG00000087087	1	0	0	ENSG00000087087	protein_coding	SRRT	serrate, RNA effector molecule [Source:HGNC Symbol;Acc:HGNC:24101]
ENSG00000090530	1	0	0	ENSG00000090530	protein_coding	P3H2	prolyl 3-hydroxylase 2 [Source:HGNC Symbol;Acc:HGNC:19317]
ENSG00000091128	1	0	0	ENSG00000091128	protein_coding	LAMB4	laminin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6491]
ENSG00000095970	1	0	0	ENSG00000095970	protein_coding	TREM2	triggering receptor expressed on myeloid cells 2 [Source:HGNC Symbol;Acc:HGNC:17761]
ENSG00000096088	1	0	0	ENSG00000096088	protein_coding	PGC	progastricsin [Source:HGNC Symbol;Acc:HGNC:8890]
ENSG00000105929	1	0	0	ENSG00000105929	protein_coding	ATP6V0A4	ATPase H+ transporting V0 subunit a4 [Source:HGNC Symbol;Acc:HGNC:866]
ENSG00000106305	1	0	0	ENSG00000106305	protein_coding	AIMP2	aminoacyl tRNA synthetase complex interacting multifunctional protein 2 [Source:HGNC Symbol;Acc:HGNC:20609]
ENSG00000109667	1	0	0	ENSG00000109667	protein_coding	SLC2A9	solute carrier family 2 member 9 [Source:HGNC Symbol;Acc:HGNC:13446]
ENSG00000111799	1	0	0	ENSG00000111799	protein_coding	COL12A1	collagen type XII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2188]
ENSG00000111846	1	0	0	ENSG00000111846	protein_coding	GCNT2	glucosaminyl (N-acetyl) transferase 2 (I blood group) [Source:HGNC Symbol;Acc:HGNC:4204]
ENSG00000112029	1	0	0	ENSG00000112029	protein_coding	FBXO5	F-box protein 5 [Source:HGNC Symbol;Acc:HGNC:13584]
ENSG00000112137	1	0	0	ENSG00000112137	protein_coding	PHACTR1	phosphatase and actin regulator 1 [Source:HGNC Symbol;Acc:HGNC:20990]
ENSG00000112146	1	0	0	ENSG00000112146	protein_coding	FBXO9	F-box protein 9 [Source:HGNC Symbol;Acc:HGNC:13588]
ENSG00000112182	1	0	0	ENSG00000112182	protein_coding	BACH2	BTB domain and CNC homolog 2 [Source:HGNC Symbol;Acc:HGNC:14078]
ENSG00000112333	1	0	0	ENSG00000112333	protein_coding	NR2E1	nuclear receptor subfamily 2 group E member 1 [Source:HGNC Symbol;Acc:HGNC:7973]
ENSG00000112561	1	0	0	ENSG00000112561	protein_coding	TFEB	transcription factor EB [Source:HGNC Symbol;Acc:HGNC:11753]
ENSG00000112576	1	0	0	ENSG00000112576	protein_coding	CCND3	cyclin D3 [Source:HGNC Symbol;Acc:HGNC:1585]
ENSG00000112578	1	0	0	ENSG00000112578	protein_coding	BYSL	bystin like [Source:HGNC Symbol;Acc:HGNC:1157]
ENSG00000112984	1	0	0	ENSG00000112984	protein_coding	KIF20A	kinesin family member 20A [Source:HGNC Symbol;Acc:HGNC:9787]
ENSG00000113196	1	0	0	ENSG00000113196	protein_coding	HAND1	heart and neural crest derivatives expressed 1 [Source:HGNC Symbol;Acc:HGNC:4807]
ENSG00000113273	1	0	0	ENSG00000113273	protein_coding	ARSB	arylsulfatase B [Source:HGNC Symbol;Acc:HGNC:714]
ENSG00000113494	1	0	0	ENSG00000113494	protein_coding	PRLR	prolactin receptor [Source:HGNC Symbol;Acc:HGNC:9446]
ENSG00000113578	1	0	0	ENSG00000113578	protein_coding	FGF1	fibroblast growth factor 1 [Source:HGNC Symbol;Acc:HGNC:3665]
ENSG00000114790	1	0	0	ENSG00000114790	protein_coding	ARHGEF26	Rho guanine nucleotide exchange factor 26 [Source:HGNC Symbol;Acc:HGNC:24490]
ENSG00000118514	1	0	0	ENSG00000118514	protein_coding	ALDH8A1	aldehyde dehydrogenase 8 family member A1 [Source:HGNC Symbol;Acc:HGNC:15471]
ENSG00000120262	1	0	0	ENSG00000120262	protein_coding	CCDC170	coiled-coil domain containing 170 [Source:HGNC Symbol;Acc:HGNC:21177]
ENSG00000120279	1	0	0	ENSG00000120279	protein_coding	MYCT1	MYC target 1 [Source:HGNC Symbol;Acc:HGNC:23172]
